NUM_FACTS;ELAPSED_TIME
1;0.007;0.004;0.02;0.003;0.007;0.002;0.008;0.048;0.003;0.011;
2;0.024;0.148;0.037;0.031;0.021;0.032;0.026;0.034;0.022;0.016;0.025;0.069;
3;0.128;0.098;0.187;0.108;0.128;0.15;0.092;0.075;0.11;0.082;
4;
5;
6;
7;
8;
9;19.248;18.14;14.528;23.324;12.159;15.517;17.658;11.605;
10;19.793;17.645;19.308;
